[env] python=3.13.7 torch=2.9.0 mps=True cuda=False
[epoch 1/100] train_loss=2.300558 val_acc=0.097300 test_acc=0.100000
[epoch 2/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 3/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 4/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 5/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 6/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 7/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 8/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 9/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 10/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 11/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 12/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 13/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 14/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 15/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 16/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 17/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 18/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 19/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 20/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 21/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 22/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 23/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 24/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 25/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 26/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 27/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 28/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 29/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 30/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 31/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 32/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 33/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 34/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 35/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 36/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 37/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 38/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 39/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 40/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 41/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 42/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 43/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 44/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 45/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 46/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 47/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 48/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 49/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 50/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 51/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 52/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 53/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 54/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 55/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 56/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 57/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 58/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 59/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 60/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 61/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 62/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 63/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 64/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 65/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 66/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 67/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 68/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 69/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 70/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 71/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 72/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 73/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 74/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 75/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 76/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 77/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 78/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 79/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 80/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 81/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 82/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 83/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 84/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 85/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 86/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 87/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 88/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 89/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 90/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 91/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 92/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 93/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 94/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 95/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 96/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
[epoch 97/100] train_loss=2.302585 val_acc=0.097300 test_acc=0.100000
